op,Peças,Quantidade,Tamanho da peça,Peso,Tempo,Espessura,Aproveitamento,Tamanho da chapa,qt. chapa,data abertura de op,maquina,op_espelho,opp,DATA,PADRÃO?,operador_final_matricula
2874,27445,2,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
2874,027566 - CANTONEIRA SUPERIOR,2,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
2874,030645- REFORÇO TRANSV. TRAS. DIANT.,5,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
2874,030316 - REFORÇO DO SUPORTE DIANT  M17,18,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
2874,030388 - COMPLEMENTO BASE MÓVEL,10,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
2874,415005 - PLASMA,12,,,,3/16 ,0.8673167193827185,"1100,00 x 1200,00 mm","1,00",21/03/2025,Laser,,opp,,,PCP
106893,032732 - CHAPEAMENTO [CORPO DO TANQUE - FTC6500 M22],0,,,,"MS 2,75 mm","0,8996","4010,00 × 1510,00 mm","6,00",21/03/2025,Plasma,17639,,,,PCP
106893,032665 - ASSOALHO [GAIOLA KIT INCENDIO - FTC],0,,,,"MS 2,75 mm","0,8996","4010,00 × 1510,00 mm","6,00",21/03/2025,Plasma,17639,,,,PCP
106893,031203 - REFORÇO INTERNO DIANTEIRO M19 v2,0,,,,"MS 2,75 mm","0,8996","4010,00 × 1510,00 mm","6,00",21/03/2025,Plasma,17639,,,,PCP
106893,031207 - FECHAM. DO FUEIRO _ CAÇAMBA _ CBH,96,,,,"MS 2,75 mm","0,8996","4010,00 × 1510,00 mm","6,00",21/03/2025,Plasma,17639,,,,PCP
106893,031206 - CHAPEAMENTO FRONTAL [CAÇAMBA - CBH],12,,,,"MS 2,75 mm","0,8996","4010,00 × 1510,00 mm","6,00",21/03/2025,Plasma,17639,,,,PCP
20144,033326 - SUPORTE DO EMBOLO [IÇAMENTO - CBH12],2,"150,00 × 100,00 mm","1,1 kg",0:00:40,"MS 12,00 mm ","80,24%","1230,00 × 1500,00 mm","1,00",21/03/2025,Plasma,,opp,,,PCP
20144,033490 - ORELHA CORRENTE [IÇAMENTO - FT12500 M22],10,"70,00 × 74,00 mm","0,4 kg",0:00:34,"MS 12,00 mm ","80,24%","1230,00 × 1500,00 mm","1,00",21/03/2025,Plasma,,opp,,,PCP
20144,033315 - SUPORTE DO IÇAMENTO [EIXO DIANTEIRO - CBH12 M22],4,"150,00 × 202,06 mm","2,2 kg",0:00:43,"MS 12,00 mm ","80,24%","1230,00 × 1500,00 mm","1,00",21/03/2025,Plasma,,opp,,,PCP
20144,025401 - SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T,15,"185,00 × 250,00 mm","4,3 kg",0:00:51,"MS 12,00 mm ","80,24%","1230,00 × 1500,00 mm","1,00",21/03/2025,Plasma,,opp,,,PCP
20144,030598 - REFORÇO LATERAL EXTERNO [CAÇAMBA SIMPLES - CBH9 M22],30,"76,20 × 300,00 mm","2,0 kg",0:01:05,"MS 12,00 mm ","80,24%","1230,00 × 1500,00 mm","1,00",21/03/2025,Plasma,,opp,,,PCP
1619 JFY,029405 - CHAPA APOIO VALVULA CILINDROS,10,144.83 * 142.40,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,031917 - FECHAMENTO FRONTAL _ ESTEIRA LATERAL _ COLHEITADEIRA,7,460.00 * 122.49,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,031918 - DEFLETOR _ ESTEIRA LATERAL _ COLHEITADEIRA,9,555.28 * 62.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,031920 - FECHAMENTO DO DEFLETOR _ ESTEIRA LATERAL _ COLHEITADEIRA,4,305.00 * 305.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,031942 - RAMPA _ ESTEIRA LATERAL COMPLETA _ MAQUINA PARA COLHEITA,2,317.68 * 618.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,028500 - BANDEJA CILINDRO 1,1,281.00 * 1146.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,029370 - NOVO CHAPA DE APOIO MEDIDORES,1,160.00 * 615.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
