peça,processo_1
028117,52
028112,52
027686,50
036242,50
036202,50
027533,50
027704,50
028448,50
028484,50
029941,50
036363,50
028057,50
028247,50
036246,50
425874,52
494665,52
025454,50
030338,50
028681,50
032934,50
468897,50
035335,50
031287,56
031221,56
030613,52
026830,52
028232,50
405980,50
032232,50
036203,50
036234,50
033432,50
033308,50
034946,50
036406,50
030603,56
035054,50
036345,50
036171,50
031245,56
030327,50
028113,52
416009,50
028324,52
028322,52
028323,52
027083,52
027086,52
027087,52
491342,50
027098,50
417294,50
031212,56
025882,50
445885,51
027093,50
036253,50
433860,50
028412,50
028406,50
036245,50
028339,50
028401,56
479718,50
025822,50
036351,50
033316,50
033318,50
028402,50
028201,52
029627,56
028016,52
025465,50
029647,56
031214,56
027637,50
466815,50
034546,50
031213,56
028330,50
036243,50
028314,50
035422,56
027336,50
036240,50
027403,50
035378,56
036378,50
036376,50
030087,50
030326,50
032233,50
027564,52
036222,50
025856,50
031215,56
466724,50
427986,50
036102,50
034753,50
035456,50
410445,52
034881,50
427056,50
439666,51
434656,50
025839,50
035407,50
035409,50
486553,51
032667,52
032668,52
032666,52
036567,52
036665,50
464879,50
496261,50
025073,50
