op,tempo_estimado,op_limpa,id,ordem
OP2967 L1,00:26:52,2967.0,25295,2967
OP2900 L1,00:10:51,2900.0,10897,2900
OP1973 L1,00:26:35,1973.0,3816,1973
OP1974 L1,02:13:55,1974.0,3817,1974
OP1975 L1,00:25:11,1975.0,3818,1975
OP1975 LASER  #11 1500 x 3500,00:25:11,1975.0,3818,1975
OP1976 L1,00:31:20,1976.0,3819,1976
OP431 L1,01:03:13,431.0,1310,431
OP1279 L1,00:05:00,1279.0,1311,1279
OP1277 L1,01:23:46,1277.0,1312,1277
op1278 l1,00:00:00,1278.0,1314,1278
OP1280 L1,00:00:00,1280.0,1315,1280
OP1239 L1,00:00:00,1239.0,1320,1239
OP1281 L1,01:17:10,1281.0,1322,1281
op1282 l1,03:22:27,1282.0,1328,1282
op1283 l1,00:12:25,1283.0,1330,1283
op1284 l1,00:20:05,1284.0,1333,1284
op1285 l1,00:07:14,1285.0,1334,1285
op1286 l1,00:05:54,1286.0,1335,1286
op1287 l1,00:21:13,1287.0,1336,1287
op1288 l1,01:10:57,1288.0,1340,1288
op1289 l1,00:14:59,1289.0,1344,1289
op1290 l1,02:47:33,1290.0,1345,1290
op1291 l1,00:38:23,1291.0,1354,1291
op1292 l1,00:21:13,1292.0,1355,1292
op1293 l1,00:11:18,1293.0,1356,1293
op1294 l1,00:51:26,1294.0,1357,1294
op1295 l1,02:21:08,1295.0,1369,1295
op1296 l1,00:17:29,1296.0,1370,1296
op1297 l1,00:29:33,1297.0,1371,1297
op1298 l1,00:11:33,1298.0,1372,1298
op1299 l1,00:07:41,1299.0,1373,1299
op1300 l1,02:29:03,1300.0,1374,1300
op1301 l1,01:28:42,1301.0,1387,1301
op1302 l1,00:08:23,1302.0,1388,1302
op1303 l1,00:08:32,1303.0,1394,1303
op1304 l1,01:12:50,1304.0,1398,1304
op1305 l1,01:02:41,1305.0,1400,1305
op1306 l1,01:17:10,1306.0,1404,1306
OP1307 L1,00:00:00,1307.0,1409,1307
OP1308 L1,00:40:08,1308.0,1410,1308
OP1309 L1,02:29:03,1309.0,1412,1309
OP1310 L1,00:00:00,1310.0,1415,1310
OP1311 L1,00:00:00,1311.0,1416,1311
OP1312 L1,00:00:00,1312.0,1424,1312
OP1313 L1,00:00:00,1313.0,1426,1313
OP1314 L1,00:00:00,1314.0,1427,1314
OP1315 L1,00:00:00,1315.0,1428,1315
OP1316 L1,00:00:00,1316.0,1429,1316
OP1317 L1,00:00:00,1317.0,1430,1317
OP1318 L1,00:00:00,1318.0,1431,1318
OP1319 L1,00:00:00,1319.0,1435,1319
OP1320 L1,00:00:00,1320.0,1436,1320
OP1321 L1,02:36:21,1321.0,1444,1321
OP1322 L1,00:00:00,1322.0,1448,1322
OP1323 L1,00:00:00,1323.0,1449,1323
OP1324 L1,00:00:00,1324.0,1451,1324
OP1325 L1,00:00:00,1325.0,1452,1325
OP1326 L1,00:00:00,1326.0,1459,1326
OP1327 L1,00:00:00,1327.0,1465,1327
