codigo,descricao,apelido
030348,030348-REFORÇO DA LONGARINA v3,030348-REFORÇO DA LONGARINA v3
425187,425187,425187
030993,030993-ENGATE GRADE,030993-ENGATE GRADE
032353,032353 - COMPL. SUPORTE FRONTAL _ CHASSI,032353 - COMPL. SUPORTE FRONTAL _ CHASSI
030317,030317 - LONGARINA,030317 - LONGARINA
426544,426544 - LONGARINA _ CHASSI _ UVA,426544 - LONGARINA _ CHASSI _ UVA
032352,032352A - SUPORTE FRONTAL FURADO _ CHASS,032352A - SUPORTE FRONTAL FURADO _ CHASS
033889,033889 - REFORÇO INTERIOR DO CABEÇÃO,033889 - REFORÇO INTERIOR DO CABEÇÃO
030368,030368 - FECHAM DA TRANSVERSINA,030368 - FECHAM DA TRANSVERSINA
475579,475579 - PLACA DE APOIO CHASSI FT3,475579 - PLACA DE APOIO CHASSI FT3
030645,030645- REFORÇO TRANSV. TRAS. DIANT.,030645- REFORÇO TRANSV. TRAS. DIANT.
032632,032632 - LONGARINA [TANQUE COMPLETO - FTC 4300],032632 - LONGARINA [TANQUE COMPLETO - FTC 4300]
031018,031018 - COLUNA LATERAL ALT 45 MD rev 03,031018 - COLUNA LATERAL ALT 45 MD rev 03
Retângulo geral,Retângulo geral,Retângulo geral
014527,014527 - FECH LAT TAMPA TRAS M09 (10.000) CBHM,014527 - FECH LAT TAMPA TRAS M09 (10.000) CBHM
030388,030388 - COMPLEMENTO BASE MÓVEL,030388 - COMPLEMENTO BASE MÓVEL
031206,031206 - CHAPEAM. FRONTAL _ CAÇAMBA _ CBH,031206 - CHAPEAM. FRONTAL _ CAÇAMBA _ CBH
030334,030334 - LONGARINA [PLATAFORMA - CBH],030334 - LONGARINA [PLATAFORMA - CBH]
460679,460679,460679
409686,409686-TRANSV INTERMEDIARIA CBHM,409686-TRANSV INTERMEDIARIA CBHM
465422,465422.FECH. TRAS. LONG. Plasmadwg,465422.FECH. TRAS. LONG. Plasmadwg
030341,[AJUSTE] 030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000 MAIOR,[AJUSTE] 030341 - PISO DIREITO _ PLATAFORMA _ CBHM 3500-4500-5000-8000 MAIOR
030339,030339A - PISO ESQUERDO _ PLATAFORMA _ CBHM 3500-5000-8000,030339A - PISO ESQUERDO _ PLATAFORMA _ CBHM 3500-5000-8000
493107,493107 CHAPEAM GRADE LATERAL 45CM CBHM,493107 CHAPEAM GRADE LATERAL 45CM CBHM
033210,033210 - LONGARINA [CHASSI - CBH12 2E],033210 - LONGARINA [CHASSI - CBH12 2E]
032831,032831 - REFORÇO DA LONGARINA [CHASSI - CBH9 M22],032831 - REFORÇO DA LONGARINA [CHASSI - CBH9 M22]
032851,032851 - REFORÇO INFERIOR [TAMPA TRASEIRA CBH9],032851 - REFORÇO INFERIOR [TAMPA TRASEIRA CBH9]
409959,409959PL - COM FURO MAIOR,409959PL - COM FURO MAIOR
034004,034004 - REFORÇO DA LONGARINA [CHASSI - CBH9-2E],034004 - REFORÇO DA LONGARINA [CHASSI - CBH9-2E]
450870,"450870 - LONGARINA _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 6,0T","450870 - LONGARINA _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 6,0T"
425801,425801-GUIA DA PLATAFORMA CBHM,425801-GUIA DA PLATAFORMA CBHM
468745,"468745 - REFORÇO DA PONTA DE EIXO _ EIXO TANDEM _ FA-FTC-CBH-CBHM 4,0-6,0T","468745 - REFORÇO DA PONTA DE EIXO _ EIXO TANDEM _ FA-FTC-CBH-CBHM 4,0-6,0T"
013213,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000","013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000"
032402,"032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T","032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T"
460230,"460230 - CANTONEIRA INFERIOR _ TAMPA TRASEIRA 0,6-1,1-1,5M _ CBHM 3500-5000-6000-8000-10000","460230 - CANTONEIRA INFERIOR _ TAMPA TRASEIRA 0,6-1,1-1,5M _ CBHM 3500-5000-6000-8000-10000"
460679,460679,460679
450819,450819 DESENHADO,450819 DESENHADO
030751,030751 - CORPO _ TAMPA LATERAL GRAN-FORR,030751 - CORPO _ TAMPA LATERAL GRAN-FORR
493211,493211,493211
033785,033785 - REFORÇO DOBRADO [GRADE LATERAL,033785 - REFORÇO DOBRADO [GRADE LATERAL
425953,425953 - FECHAMENTO LATERAL _ TAMPA DIAN,425953 - FECHAMENTO LATERAL _ TAMPA DIAN
409820,409820 - Plasma,409820 - Plasma
429764,429764-Plasma,429764-Plasma
031237,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v,031237 - CHAPEAM. DO FUEIRO DIANT. M18 v
032317,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇA,032317 - COMPL. FECHAM. DO FUEIRO _ CAÇA
466578,466578 - FECHAMENTO LATERAL _ TAMPA DIAN,466578 - FECHAMENTO LATERAL _ TAMPA DIAN
032547,"032547 - COLUNA DO FECHAM DIANT _ FA6,0","032547 - COLUNA DO FECHAM DIANT _ FA6,0"
032548,032548 - REFORÇO INFERIOR DIANT _ BAG-CE,032548 - REFORÇO INFERIOR DIANT _ BAG-CE
030544,"030544 - CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T","030544 - CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T"
030384,"030384 - CHAPEAMENTO LATERAL _ CAÇAMBA 1 EIXO _ CBH 5,0-6,0T","030384 - CHAPEAMENTO LATERAL _ CAÇAMBA 1 EIXO _ CBH 5,0-6,0T"
022263,022263 - COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN FORR (M12) CBH,022263 - COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN FORR (M12) CBH
030591,030591 - COM O RECORTE DA LOGO,030591 - COM O RECORTE DA LOGO
485007,485007-ARRUELA LISA  1.1-4-Plasma,485007-ARRUELA LISA  1.1-4-Plasma
025546,025546 - FECHAMENTO DO EIXO [EIXO - F4],025546 - FECHAMENTO DO EIXO [EIXO - F4]
030318,030318 - TRANSVERSINA DIANTEIRA _ CHASSI,030318 - TRANSVERSINA DIANTEIRA _ CHASSI
459690,459690-FECHAMENTO DIANTEIRO IÇAMENTO,459690-FECHAMENTO DIANTEIRO IÇAMENTO
441480,441480-SUPORTE ENGATE IÇAMENTO,441480-SUPORTE ENGATE IÇAMENTO
459252,459252 - Plasma,459252 - Plasma
029678,029678 - TRANSVERSINA TRASEIRA _ CHASSI,029678 - TRANSVERSINA TRASEIRA _ CHASSI
029679,029679 Plasma,029679 Plasma
030318,"030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T","030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T"
468540,468540 - FECHAMENYO FRONTAL F4 6 -ICAM,468540 - FECHAMENYO FRONTAL F4 6 -ICAM
030381,030381 - FIXADOR MACACO,030381 - FIXADOR MACACO
032849,032849 - CHAPEAMENTO SUPERIOR [TAMPA TRASEIRA CBH9],032849 - CHAPEAMENTO SUPERIOR [TAMPA TRASEIRA CBH9]
032457,032457 - LONGARINA _ PLATAF _ UVA M21,032457 - LONGARINA _ PLATAF _ UVA M21
032458,032458 - TRANSVERSINA DIANT _ PLATAF _ UVA M21,032458 - TRANSVERSINA DIANT _ PLATAF _ UVA M21
032459,032459 - TRANSVERSINA INTERM _ PLATAF _ UVA M21,032459 - TRANSVERSINA INTERM _ PLATAF _ UVA M21
440115,440115-Plasma,440115-Plasma
030373,030373 - TRASNV. INTERM. CENTRAL _ CAÇAMBA _ CBH,030373 - TRASNV. INTERM. CENTRAL _ CAÇAMBA _ CBH
016123,016123 - FECHAM LAT EIXO (CEN) F6 SS,016123 - FECHAM LAT EIXO (CEN) F6 SS
426386,426386-Plasma,426386-Plasma
030614,030614 - REFORÇO INTERNO DO ENGATE,030614 - REFORÇO INTERNO DO ENGATE
