op,tempo_estimado,op_limpa,id,ordem
OP20477 PL2  #3.8 1200 x 2680,00:16:55,20477.0,24975,20477
OP20496 PL2  #1.4 1200 X 4500,00:29:30,20496.0,25325,20496
OP20484 PL2  #3.4  370 X 500,00:03:49,20484.0,25154,20484
OP20265 PL2 #3.16 1200 x 6000,01:01:22,20265.0,10911,20265
OP20335 PL1 #1.4 110 x 800,00:02:45,20335.0,12747,20335
OP18607 PL1 #5.16 1200 x 6000,00:58:06,18607.0,5816,18607
OP16991 PL2 #3.16 1210 x 2820,00:34:23,16991.0,3812,16991
OP16992 PL2  #5.8 750 x 1250,00:35:42,16992.0,3813,16992
OP16993 PL2  #3.8 1210 x 2420,01:43:51,16993.0,3814,16993
OP16994 PL2  #1.4 1210 x 4050,00:33:51,16994.0,3815,16994
OP15577,01:42:56,15577.0,1303,15577
OP15598,01:45:34,15598.0,1304,15598
OP15600,00:39:09,15600.0,1305,15600
OP15601,00:34:27,15601.0,1306,15601
OP15603,00:29:22,15603.0,1307,15603
OP15604,01:29:09,15604.0,1308,15604
OP15605,00:58:10,15605.0,1309,15605
OP15606,00:30:40,15606.0,1313,15606
OP15597,00:31:59,15597.0,1316,15597
OP15599,00:47:50,15599.0,1317,15599
OP15602,00:01:45,15602.0,1318,15602
OP14979,00:28:35,14979.0,1319,14979
OP15107,00:49:09,15107.0,1321,15107
OP15607,01:59:19,15607.0,1323,15607
OP15608,00:31:48,15608.0,1324,15608
OP15609,01:34:47,15609.0,1325,15609
OP15610,00:50:42,15610.0,1326,15610
OP15612,01:33:19,15612.0,1327,15612
OP15611,01:31:17,15611.0,1329,15611
OP15613,00:15:14,15613.0,1331,15613
OP15614,00:46:58,15614.0,1332,15614
OP15615,00:14:58,15615.0,1337,15615
OP15616,00:23:53,15616.0,1338,15616
OP15617,00:18:24,15617.0,1339,15617
OP15618,00:38:18,15618.0,1341,15618
OP15620,03:19:54,15620.0,1342,15620
OP15619,00:14:23,15619.0,1343,15619
OP16995 PL2  #3.16 1210 x 4040,00:28:32,16995.0,3820,16995
