HTTP/2 support not enabled (install the http2 and tls Twisted extras)
Configuring endpoint tcp:port=8001:interface=127.0.0.1
Listening on TCP address 127.0.0.1:8001
HTTP GET / 302 [0.07, 127.0.0.1:56238]
HTTP GET /core/login/ 200 [0.04, 127.0.0.1:56238]
HTTP GET / 302 [0.04, 127.0.0.1:63416]
HTTP GET /core/login/ 200 [0.02, 127.0.0.1:63416]
HTTP GET /static/js/scripts_login.js 302 [0.03, 127.0.0.1:63416]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:63416]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:63416]
HTTP GET /core/login/?next=/favicon.ico 200 [0.00, 127.0.0.1:63416]
HTTP GET /core/login/ 200 [0.01, 127.0.0.1:61080]
HTTP GET /static/js/scripts_login.js 302 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:61080]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:61080]
HTTP GET /core/login/?next=/favicon.ico 200 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/ 200 [0.01, 127.0.0.1:61080]
HTTP GET /static/js/scripts_login.js 302 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:61080]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:61080]
HTTP GET /core/login/?next=/favicon.ico 200 [0.00, 127.0.0.1:61080]
HTTP POST /core/login/ 200 [1.63, 127.0.0.1:61080]
HTTP GET /static/js/scripts_login.js 302 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:61080]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:61080]
HTTP GET /core/login/?next=/favicon.ico 200 [0.01, 127.0.0.1:61080]
HTTP POST /core/login/ 200 [0.86, 127.0.0.1:61080]
HTTP GET /static/js/scripts_login.js 302 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:61080]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:61080]
HTTP GET /core/login/?next=/favicon.ico 200 [0.00, 127.0.0.1:61080]
HTTP POST /core/login/ 200 [0.90, 127.0.0.1:61080]
HTTP GET /static/js/scripts_login.js 302 [0.01, 127.0.0.1:61080]
HTTP GET /core/login/?next=/static/js/scripts_login.js 200 [0.01, 127.0.0.1:61080]
HTTP GET /favicon.ico 302 [0.00, 127.0.0.1:61080]
HTTP GET /core/login/?next=/favicon.ico 200 [0.00, 127.0.0.1:61080]
